name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
"PR_СКОРОСТЬ АВТОМОБИЛЯ","PR003","2101","(M*256+N)","0","0","км/час","742"
"PR_НАПРЯЖЕНИЕ ПИТАНИЯ КОМПЬЮТЕРА","PR108","2101","(1.0*((A*256+B)))/256","9","15","V","742"
"PR_ПРИКЛАДЫВАЕМЫЙ К РУЛ КОЛЕСУ КРУТ МОМЕНТ","PR001","2101","(1.0*(signed(C)))/10","-10.5","10.5","Nm","742"
"PR_УГОЛ РУЛЕВОГО КОЛЕСА","PR121","2101","(1.0*((signed(D)*256+E)))/10","-680","680","d*","742"
"PR_СКОРОСТЬ ВРАЩЕНИЯ КОЛОНКИ","PR135","2101","0.1*(signed(F)*256+G)","-1800","1800","*/с","742"
"PR_ТОК. ПОТРЕБЛЯЕМЫЙ ДВИГАТЕЛЕМ.","PR012","2101","(signed(H))","-90","90","A","742"
"PR_ЗАДАНН ЗН ТОКА. ПОТРЕБЛЯЕМОГО ДВИГАТЕЛЕМ","PR013","2101","(signed(I))","-90","90","A","742"
"PR_ЗАДАНН ЗНАЧ КРУТ МОМЕНТА  ДВ РУЛ УПРАВ","PR006","2101","(1.0*(signed(J)))/10","-13.2","13.2","Nm","742"
"PR_ИНДИКАТОР ТЕПЛОВОЙ ЗАЩИТЫ ДВИГАТЕЛЯ","PR119","2101","K","0","60","*C","742"
"PR_ДОСТУПНАЯ СТЕПЕНЬ УСИЛЕНИЯ","PR014","2101","L","0","100","%","742"
"ST_РАБОТА ТЕПЛОВОГО ДВИГАТЕЛЯ","ET023","2101","((O>4)&3)","0","0","","742"
"ST_ВВОД ПАРАМЕТРОВ ДАТЧИКА УГЛА РУЛЕВОГО КОЛЕСА","ET020","2101","((O>2)&3)","0","0","","742"
"ST_КАЛИБРОВКА ЭБУ","ET026","2180","(S*256+T)","0","0","","742"
"ST_КАЛИБРОВКА ЭБУ","LC005","2180","(S*256+T)","0","0","","742"
"ST_ТИП КОРРЕКЦИИ БОКОВОГО УВОДА АВТОМОБИЛЯ","LC008","2104","A","0","0","","742"
"ST_ЗАКОН КОРРЕКЦИИ БОКОВОГО УВОДА АВТОМОБИЛЯ","LC009","2103","A","0","0","","742"
