name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
"PR_НАПРЯЖЕНИЕ ПИТАНИЯ КОМПЬЮТЕРА","PR001","2106","U*0.082","0","0","V","752"
"PR_ЧИСЛО СТИРАНИЙ ОБЛАСТЕЙ ПАМЯТИ","PR140","2102","G","0","0","","752"
"PR_ТИП АВТОМОБИЛЯ","PR002","2180","V","0","0","","752"
"PR_PARAMETRE PRIVE 5","PR138","2102","E","0","0","","752"
"ST_КОМПЬЮТЕР ЗАБЛОКИРОВАН ДИАГНОСТ. ПРИБОРОМ","ET073","2102","{A:3}","0","0","","752"
"ST_ПОДУШКА(И) БЕЗ. ПАССАЖ. ЗАБЛОКИРОВАНА(Ы)","ET143","2102","{B:4}","0","0","","752"
"ST_КОМПЬЮТЕР ПОДЛЕЖИТ ЗАМЕНЕ","ET076","2102","{B:1}","0","0","","752"
"ST_УДАР ОБНАРУЖЕН","ET010","2102","{A:2}","0","0","","752"
"ST_УПРАВЛЕНИЕ ИНДИКАТОРОМ НЕИСПРАВНОСТИ","ET074","2102","{B:3}","0","0","","752"
"ST_ИНДИК. УПР. СОСТОЯН. ПОДУШКИ БЕЗОП. ПАСС.","ET072","2102","{B:2}","0","0","","752"
"ST_РЕЖИМ БЛОКИР. ПОДУШКИ БЕЗОПАСН. ПАССАЖИРА","ET108","2102","H","0","0","","752"
"ST_ТИП БЛОКИРОВКИ ПОДУШЕК БЕЗОПАСНОСТИ ПАССАЖИРА","ET103","2102","D","0","0","","752"
"ST_ДИАГНОСТ. ЗАБЛОКИРОВАНА ПИТАНИЕ ВНЕ НОРМЫ","ET105","2102","{C:0}","0","0","","752"
"ST_ПРИСУСТВИЕ ПАССАЖИРА ОБНАРУЖЕНО","ET167","2106","X","0","0","","752"
"ST_КОНТАКТ РЕМНЯ БЕЗОПАСНОСТИ ВОДИТЕЛЯ","ET169","2106","V","0","0","","752"
"ST_КОНТАКТ РЕМНЯ БЕЗОПАСНОСТИ ПАССАЖИРА","ET170","2106","W","0","0","","752"
"ST_КОД(Ы) НЕИС-ТИ(ЕЙ) ЗАПИСАН(Ы) В ПАМЯТЬ","ET145","2103","{A:0}","0","0","","752"
"ST_КОМПЬЮТЕР ЗАБЛОКИРОВАН","ET006","2103","{A:3}","0","0","","752"
"ST_КОМПЬЮТЕР ПОДЛЕЖИТ ЗАМЕНЕ","ET162","2103","{B:1}","0","0","","752"
"ST_ИНДИКАТОР СОСТОЯНИЯ ПОДУШКИ БЕЗОПАСН. ПАССАЖИРА","ET146","2103","{B:2}","0","0","","752"
"ST_ИНДИКАТОР НЕИСПРАВНОСТИ ПОДУШКИ БЕЗОПАСН.","ET147","2103","{B:3}","0","0","","752"
"ST_РЕЖИМ БЛОКИР. ПОДУШКИ БЕЗОПАСН. ПАССАЖИРА","ET163","2103","H","0","0","","752"
"ST_ДИАГНОСТ. ЗАБЛОКИРОВАНА ПИТАНИЕ ВНЕ НОРМЫ","ET164","2103","{C:0}","0","0","","752"
"ST_ПЕРЕДНЯЯ ПОДУШКА БЕЗОПАСНОСТИ ВОДИТЕЛЯ ЦЕПЬ 1","ET148","210B","{A:6}","0","0","","752"
"ST_ПЕРЕДНЯЯ ПОДУШКА БЕЗОПАСНОСТИ ВОДИТЕЛЯ ЦЕПЬ 2","ET149","210B","{A:7}","0","0","","752"
"ST_ПЕРЕДНЯЯ ПОДУШКА БЕЗОПАСНОСТИ ПАССАЖИРА ЦЕПЬ 1","ET150","210B","{A:4}","0","0","","752"
"ST_ПЕРЕДНЯЯ ПОДУШКА БЕЗОПАСНОСТИ ПАССАЖИРА ЦЕПЬ 2","ET151","210B","{A:5}","0","0","","752"
"ST_БОК. ПОДУШКА БЕЗОП. ДЛЯ ГОЛОВЫ СО СТОР. ВОДИТЕЛЯ","ET160","210B","{B:0}","0","0","","752"
"ST_БОК. ПОДУШКА БЕЗ. ДЛЯ ГОЛОВЫ СО СТОР. ПАССАЖИРА","ET161","210B","{B:1}","0","0","","752"
"ST_БОК. ПЕРЕДН. ПОДУШКА БЕЗОП. ДЛЯ ГРУДИ ВОДИТЕЛЯ","ET156","210B","{B:2}","0","0","","752"
"ST_БОК. ПЕРЕДН. ПОД. БЕЗОП. ДЛЯ ГРУДИ ПЕР. ПАССАЖ.","ET157","210B","{B:3}","0","0","","752"
"ST_БОК. ЗАДН. ПОДУШКА БЕЗОП. ДЛЯ ГРУДИ ВОДИТЕЛЯ","ET158","210B","{B:4}","0","0","","752"
"ST_БОК. ЗАДН. ПОДУШКА БЕЗОП. ДЛЯ ГРУДИ ПАССАЖИРА","ET159","210B","{B:5}","0","0","","752"
"ST_УСТР. ПРЕДВ. НАТЯЖ. ПЕРЕДН. ПЛЕЧ. РЕМНЕЙ","ET152","210B","{C:3}","0","0","","752"
"ST_ЗАДНИЕ НАМАТЫВАТЕЛИ","ET153","210B","{C:6}","0","0","","752"
"ST_ПОД. БЕЗОП. ОПОРЫ/ПОЯСА СИДЕНЬЯ ВОДИТЕЛЯ","ET154","210B","{A:0}","0","0","","752"
