name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
"PR_РЕЖИМ ДВИГАТЕЛЯ","PR116","2110","(1.0*(F*256+G))/8","0","0","об/мин","743"
"PR_СКОРОСТЬ АВТОМОБИЛЯ","PR099","2110","(1.0*(H*256+I))/100","0","0","км/час","743"
"PR_ТЕМПЕРАТУРА ВОДЫ","PR027","2110","N-40","0","0","*C","743"
"PR_УРОВЕНЬ ТОПЛИВА","PR035","2112","(1.0*((C*256+D)))/1000","0","60","л.","743"
"PR_НАПРЯЖЕНИЕ АККУМУЛЯТОРНОЙ БАТАРЕИ 12 В","PR110","2112","(1.0*((V*256+W)))/1000","7.5","16","V","743"
"PR_НАПРЯЖЕНИЕ РЕОСТАТА ОСВЕЩЕНИЯ","PR111","2112","(1.0*((X*256+Y)))/1000","0","8.5","V","743"
"PR_НАРУЖНАЯ ТЕМПЕРАТУРА","PR109","2112","Z-40","0","0","*C","743"
"PR_ПОДАЧА ТОПЛИВА","PR112","2112","O","0","0","l/h","743"




name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
"PR_ЗАРЯД ОТ ГЕНЕРАТОРА","PR010","2102","0.390625*A"," 0"," 0","%","74D"
"ST_ВКЛЮЧЕН ЗАДНИЙ ХОД","ET004","2102","((B>2)&3)","0","0","","74D"
"ST_ПОЛОЖЕНИЕ РЫЧАГА ПЕРЕКЛЮЧЕНИЯ ПЕРЕДАЧ","ET005","2102","B","0","0","","74D"



name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
"PR_НАРУЖНАЯ ТЕМПЕРАТУРА","PR002","21C1","B-40","-40"," 60","*C","744"
"PR_ВНУТРЕННЯЯ ТЕМПЕРАТУРА","PR001","21C1","0.5*G-40","-40"," 80","*C","744"
"PR_ТЕМПЕРАТУРА  ИСПАРИТЕЛЯ","PR003","21C1","0.5*F-40","-40"," 87","*C","744"
"PR_ТЕМПЕРАТУРА ВОДЫ","PR004","21C1","D-40","-40"," 214","*C","744"
"PR_НАПРЯЖЕНИЕ АККУМУЛЯТОРНОЙ БАТАРЕИ 12 В","PR092","21C1","0.078*J"," 10.5"," 16","V","744"
"PR_ИНТЕНСИВНОСТЬ СОЛНЕЧНОГО СВЕТА","PR006","21C1","3*H"," 0"," 400","Вт/м2","744"
"PR_ЗАПРОС НАГРЕВАТЕЛЬНЫХ РЕЗИСТОРОВ","PR137","21C2","100*((C>3)&31)"," 0"," 3000","W","744"
"PR_УСТАНОВКА PWM ЭЛ. ВЕНТИЛЯТ. САЛОНА","PR019","21C2","0.5*M"," 0"," 100","%","744"
"PR_УСТАВКА ТЕМПЕРАТУРЫ ПОДАВАЕМОГО ВОЗДУХА","PR121","21C2","N-40"," 0"," 80","*C","744"
"PR_ПОЛОЖЕНИЕ СМЕСИТЕЛЬНОЙ ЗАСЛОНКИ","PR012","21C2","P"," 0"," 100","%","744"
"PR_ПОЛОЖЕНИЕ РАСПРЕДЕЛИТ. ЗАСЛОНКИ","PR011","21C2","Q"," 0"," 100","%","744"
"PR_НОЧНОЙ УРОВЕНЬ ОСВЕЩЕНИЯ","PR122","21C2","0.4*F"," 0"," 100","%","744"
"PR_СКОРОСТЬ АВТОМОБИЛЯ","PR095","21C2","2.56*H"," 0"," 250","км/час","744"
