name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
"PR_НАРУЖНАЯ ТЕМПЕРАТУРА","PR002","21C1","B-40","-40"," 60","*C","744"
"PR_ВНУТРЕННЯЯ ТЕМПЕРАТУРА","PR001","21C1","0.5*G-40","-40"," 80","*C","744"
"PR_ТЕМПЕРАТУРА  ИСПАРИТЕЛЯ","PR003","21C1","0.5*F-40","-40"," 87","*C","744"
"PR_ТЕМПЕРАТУРА ВОДЫ","PR004","21C1","D-40","-40"," 214","*C","744"
"PR_НАПРЯЖЕНИЕ АККУМУЛЯТОРНОЙ БАТАРЕИ 12 В","PR092","21C1","0.078*J"," 10.5"," 16","V","744"
"PR_ИНТЕНСИВНОСТЬ СОЛНЕЧНОГО СВЕТА","PR006","21C1","3*H"," 0"," 400","Вт/м2","744"
"PR_ЗАПРОС НАГРЕВАТЕЛЬНЫХ РЕЗИСТОРОВ","PR137","21C2","100*((C>3)&31)"," 0"," 3000","W","744"
"PR_УСТАНОВКА PWM ЭЛ. ВЕНТИЛЯТ. САЛОНА","PR019","21C2","0.5*M"," 0"," 100","%","744"
"PR_УСТАВКА ТЕМПЕРАТУРЫ ПОДАВАЕМОГО ВОЗДУХА","PR121","21C2","N-40"," 0"," 80","*C","744"
"PR_ПОЛОЖЕНИЕ СМЕСИТЕЛЬНОЙ ЗАСЛОНКИ","PR012","21C2","P"," 0"," 100","%","744"
"PR_ПОЛОЖЕНИЕ РАСПРЕДЕЛИТ. ЗАСЛОНКИ","PR011","21C2","Q"," 0"," 100","%","744"
"PR_НОЧНОЙ УРОВЕНЬ ОСВЕЩЕНИЯ","PR122","21C2","0.4*F"," 0"," 100","%","744"
"PR_СКОРОСТЬ АВТОМОБИЛЯ","PR095","21C2","2.56*H"," 0"," 250","км/час","744"
"ST_+ ПОСЛЕ ВКЛ. ЗАЖИГ. НА КОМПЬЮТЕРЕ","ET007","21C2","(B&3)","0","0","","744"
"ST_+ 12 В ГАБАРИТНЫЙ СВЕТ","ET002","21C2","((S>2)&3)","0","0","","744"
"ST_ВЕНТИЛЯТОР САЛОНА","ET141","21C2","((S>6)&3)","0","0","","744"
"ST_ФИКСАЦИЯ УСТАВКИ ТЕМПЕРАТ. ПОДАВ. ВОЗДУХА","ET087","21C2","((B>4)&3)","0","0","","744"
"ST_ПОЛОЖЕНИЕ ЗАСЛОНКИ РЕЦИРКУЛЯЦИИ","ET062","21C2","((S>4)&3)","0","0","","744"
"ST_ОБОГРЕВАТЕЛЬ ЗАДНЕГО СТЕКЛА: РЕЖИМ АВТО","ET085","21C2","{O:7}","0","0","","744"
"ST_ОБОГРЕВАТЕЛЬ ЗАДНЕГО СТЕКЛА: РУЧН. РЕЖИМ","ET086","21C2","((B>6)&3)","0","0","","744"
"ST_ЗАПРОС КОНДИЦИОНИРОВАНИЯ ВОЗДУХА 1","ET143","21C2","{O:6}","0","0","","744"
"ST_ЗАПРОС ЦИКЛИЧЕСКОЙ РАБОТЫ КОМПРЕССОРА","ET139","21C2","((D>4)&3)","0","0","","744"
"ST_ТИП АВТОМОБИЛЯ","LC013","21C0","B","0","0","","744"
"ST_ТИП НАГРЕВАТЕЛЬНЫХ РЕЗИСТОРОВ","LC044","21C0","D","0","0","","744"
